source_id,local_filename,source_page_url,original_url,title,caption,author,credit,license,license_url,facility,scene_group,mime,width,height,sha256,verified_at
"usfws-turtle-nest-hatchery","raw/usfws-public-domain/usfws-turtle-nest-hatchery.jpg","https://www.fws.gov/media/turtle-nest-hatchery","https://www.fws.gov/sites/default/files/images/2024-03-5/12133.jpg","Turtle nest hatchery","Refuge Manager Kevin Godsea standing by a 25 nest hatchery on Cape Island, SC.","Hillebrand, Steve","Hillebrand, Steve/USFWS","Public Domain","https://www.fws.gov/media/turtle-nest-hatchery","Cape Romain National Wildlife Refuge","cape-romain-turtle-nest-hatchery-sequence","image/jpeg","3504","2336","131bc0bba9d718003a5728ca994385ba7a159113f61806205431a9dbe88d638e","2026-08-14T03:25:04Z"
"usfws-turtle-nest-hatchery-0","raw/usfws-public-domain/usfws-turtle-nest-hatchery-0.jpg","https://www.fws.gov/media/turtle-nest-hatchery-0","https://www.fws.gov/sites/default/files/images/2024-03-5/12134.jpg","Turtle nest hatchery","From left to right, volunteer Katie Snipes, Refuge Manger Kevin Godsea, and ES biologist Melissa Bimbi relocating loggerhead sea turtle nests into a hatchery on Cape Island, SC.","Hillebrand, Steve","Hillebrand, Steve/USFWS","Public Domain","https://www.fws.gov/media/turtle-nest-hatchery-0","Cape Romain National Wildlife Refuge","cape-romain-turtle-nest-hatchery-sequence","image/jpeg","3504","2336","7a1b9e98d57863884da91f0d388501d646c9d67395f3f79b36707b7b9fccd923","2026-08-14T03:25:04Z"
"usfws-turtle-nest-hatchery-1","raw/usfws-public-domain/usfws-turtle-nest-hatchery-1.jpg","https://www.fws.gov/media/turtle-nest-hatchery-1","https://www.fws.gov/sites/default/files/images/2024-03-5/12138.jpg","Turtle nest hatchery","Replacing the top on a 25 nests hatchery after completing nest relocation on Cape Island, SC.","Hillebrand, Steve","Hillebrand, Steve/USFWS","Public Domain","https://www.fws.gov/media/turtle-nest-hatchery-1","Cape Romain National Wildlife Refuge","cape-romain-turtle-nest-hatchery-sequence","image/jpeg","3504","2336","2265e17e2d3e010122f12ff0d4f63e6de1cdaf4e9e1433d8709e7231d931903a","2026-08-14T03:25:04Z"
"usfws-turtle-nest-hatchery-2","raw/usfws-public-domain/usfws-turtle-nest-hatchery-2.jpg","https://www.fws.gov/media/turtle-nest-hatchery-2","https://www.fws.gov/sites/default/files/images/2024-03-5/12139.jpg","Turtle nest hatchery","50 nests hatchery on Cape Island sandbagged to protect it from predicted possible tropical storm activity.","Hillebrand, Steve","Hillebrand, Steve/USFWS","Public Domain","https://www.fws.gov/media/turtle-nest-hatchery-2","Cape Romain National Wildlife Refuge","cape-romain-turtle-nest-hatchery-sequence","image/jpeg","3504","2336","6ccd2daab5abd2ae0d41b8f39c058d8e767cc4765aa6607ac26aa01c708306ec","2026-08-14T03:25:04Z"
"usfws-turtle-nest-hatchery-3","raw/usfws-public-domain/usfws-turtle-nest-hatchery-3.jpg","https://www.fws.gov/media/turtle-nest-hatchery-3","https://www.fws.gov/sites/default/files/images/2024-03-5/12141.jpg","Turtle nest hatchery","Refuge Manager Kevin Godsea by a 25 nest hatchery on Cape Island, SC.","Hillebrand, Steve","Hillebrand, Steve/USFWS","Public Domain","https://www.fws.gov/media/turtle-nest-hatchery-3","Cape Romain National Wildlife Refuge","cape-romain-turtle-nest-hatchery-sequence","image/jpeg","3504","2336","0b872fc9f8f8a14101797306b9e1359b9b368119f151847a089cf0688b7e605e","2026-08-14T03:25:04Z"
